"Name","Description"
"はじめまして","初回ログイン達成"
"三日坊主じゃない人","3日連続ログイン達成"
"いい感じに続けてる人","7日連続ログイン達成"
"意外と根性あるかも","14日連続ログイン達成"
"ここまで続くとは…","30日連続ログイン達成"
"本気でやる気になった？","90日連続ログイン達成"
"とりあえず動いてる","累計運動時間1時間達成"
"ちゃんと続けてる","累計運動時間10時間達成"
"なんか頑張ってる","累計運動時間50時間達成"
"もうプロトレーナー？","累計運動時間100時間達成"
"急にやる気出した？","1日で1時間以上運動達成"
"気をつけてるんだな","1週間平均摂取カロリー目標内達成"
"食べすぎ注意","1日で摂取カロリー2000kcal超え（おふざけ兼用）"
"今日はセーブしたね","1日で摂取カロリー目標の70％以下達成"
"こだわり派","7日間すべて目標カロリー内で過ごす"
"チートマスター","チートデイチケットを3回使った"
"ひろゆきファン","チビひろゆきを10回以上開いた"
"最初の一歩","初めて目標体重に到達"
"一喜一憂","目標体重の±1kgの範囲に3日連続で入る"
"がんばってるね","目標体重まで5kg以下に近づく"
"ゴールはまだ先","目標体重を初めて達成後、1ヶ月維持"
